,signal,type,query,choice,pid
285,searching,visual,"3424,2424,645",2,6
1066,searching,visual,"226,4937,1514",0,26
485,has_information,visual,"379,5173,4765",3,9
776,has_item,kinesthetic,"967,1558,2093",2,15
694,has_information,visual,"3196,4282,1286",3,12
558,has_information,visual,"560,5685,2201",0,10
972,idle,kinesthetic,"762,1763,1279",0,22
73,has_information,kinesthetic,"966,1090,1661",0,3
630,searching,visual,"2176,4954,5029",1,11
590,searching,auditory,"287,209,399",3,10
421,idle,visual,"1004,2045,4299",3,8
617,searching,auditory,"288,201,810",3,10
949,has_information,auditory,"646,743,699",0,22
784,searching,visual,"226,903,1896",0,15
951,has_information,auditory,"148,269,79",1,22
148,searching,visual,"196,2637,2976",3,5
1036,has_information,auditory,"829,116,431",0,25
571,has_information,auditory,"357,565,585",3,10
1062,searching,visual,"226,4937,4186",0,26
525,idle,visual,"3110,2313,2760",2,10
901,has_item,visual,"5077,1963,223",0,22
166,has_information,visual,"4938,1731,3100",3,5
293,searching,auditory,"9,478,32",0,6
169,has_information,auditory,"12,160,790",3,5
27,searching,visual,"4558,4748,5657",3,2
204,has_item,kinesthetic,"1200,42,1111",3,5
573,has_information,kinesthetic,"1834,1832,423",1,10
186,has_item,visual,"606,5029,896",3,5
165,has_information,visual,"2176,858,3552",3,5
343,has_item,visual,"791,1087,1622",0,7
875,has_item,visual,"1476,1023,4399",3,19
180,has_item,visual,"3587,4811,934",3,5
882,has_item,kinesthetic,"843,2017,2093",2,19
420,idle,visual,"2595,5451,2749",0,8
568,has_information,auditory,"332,830,130",3,10
103,searching,visual,"5604,4090,3184",1,3
244,idle,auditory,"288,558,830",3,5
373,has_information,visual,"162,3639,1014",2,7
394,searching,visual,"1675,3017,3804",1,8
522,idle,visual,"3110,2541,2760",2,10
200,has_item,auditory,"252,439,579",3,5
399,searching,visual,"254,511,752",0,8
398,searching,visual,"254,4583,5537",3,8
554,has_item,auditory,"24,309,415",3,10
501,has_information,visual,"2982,2565,2524",0,9
487,has_information,visual,"829,694,277",3,9
893,has_item,visual,"5077,911,1463",0,22
475,idle,auditory,"389,378,754",3,9
327,idle,auditory,"491,162,86",2,7
626,searching,auditory,"288,462,256",3,10
240,idle,auditory,"288,220,666",3,5
686,has_information,visual,"3296,891,3186",3,12
10,searching,auditory,"539,251,249",3,2
932,has_information,visual,"5268,1803,3467",3,22
697,has_information,visual,"4163,1570,3137",3,12
948,has_information,auditory,"646,860,312",3,22
803,idle,visual,"4975,4140,1561",0,17
1009,idle,visual,"1224,5587,2848",1,24
