modality,signal,embedding_type,embedding_size,metric,seed
visual,has_information,random,16,0.25,2
visual,has_information,random,16,0.5,2
visual,has_information,random,16,1.0,2
visual,has_information,random,16,0.0,2
visual,has_information,random,16,0.0,2
visual,has_information,random,16,0.625,2
visual,has_information,random,16,1.0,2
visual,has_information,random,16,1.0,2
visual,has_information,random,16,0.0,2
auditory,idle,contrastive+autoencoder,16,0.0,2
auditory,idle,contrastive+autoencoder,16,0.5,2
auditory,idle,contrastive+autoencoder,16,1.0,2
auditory,idle,contrastive+autoencoder,16,0.9411764740943908,2
auditory,idle,contrastive+autoencoder,16,0.3333333432674408,2
auditory,idle,contrastive+autoencoder,16,0.0,2
auditory,idle,contrastive+autoencoder,16,1.0,2
auditory,idle,contrastive+autoencoder,16,1.0,2
auditory,searching,contrastive+autoencoder,16,0.6666666865348816,2
auditory,searching,contrastive+autoencoder,16,0.9473684430122375,2
auditory,searching,contrastive+autoencoder,16,0.6666666865348816,2
auditory,searching,contrastive+autoencoder,16,1.0,2
auditory,searching,contrastive+autoencoder,16,0.0,2
auditory,searching,contrastive+autoencoder,16,0.3333333432674408,2
auditory,searching,contrastive+autoencoder,16,1.0,2
auditory,searching,contrastive+autoencoder,16,0.5,2
auditory,searching,contrastive+autoencoder,16,1.0,2
auditory,searching,contrastive+autoencoder,16,0.0,2
auditory,has_item,contrastive+autoencoder,16,1.0,2
auditory,has_item,contrastive+autoencoder,16,1.0,2
auditory,has_item,contrastive+autoencoder,16,0.5,2
auditory,has_item,contrastive+autoencoder,16,0.0,2
auditory,has_item,contrastive+autoencoder,16,1.0,2
auditory,has_item,contrastive+autoencoder,16,1.0,2
auditory,has_item,contrastive+autoencoder,16,0.0,2
auditory,has_item,contrastive+autoencoder,16,1.0,2
auditory,has_information,contrastive+autoencoder,16,0.0,2
auditory,has_information,contrastive+autoencoder,16,1.0,2
auditory,has_information,contrastive+autoencoder,16,0.0,2
auditory,has_information,contrastive+autoencoder,16,0.0,2
auditory,has_information,contrastive+autoencoder,16,1.0,2
auditory,has_information,contrastive+autoencoder,16,1.0,2
auditory,has_information,contrastive+autoencoder,16,0.0,2
auditory,has_information,contrastive+autoencoder,16,1.0,2
auditory,idle,contrastive,16,0.0,2
