,modality,conditioning,pretraining,embedding_type,embedding_size,task_idx,loss
365,kinesthetic,independent,AE_embeds,random,128,1,986.2750922159445
366,kinesthetic,independent,AE_embeds,random,128,2,1020.8633656545992
367,kinesthetic,independent,AE_embeds,random,128,3,1003.9104873083304
368,auditory,independent,auditory_pretrained_embeddings,VAE,128,0,
369,auditory,independent,auditory_pretrained_embeddings,VAE,128,1,
370,auditory,independent,auditory_pretrained_embeddings,VAE,128,2,
371,auditory,independent,auditory_pretrained_embeddings,VAE,128,3,2678.4292122899324
372,auditory,independent,auditory_pretrained_embeddings,VAE,128,0,
373,auditory,independent,auditory_pretrained_embeddings,VAE,128,1,
374,auditory,independent,auditory_pretrained_embeddings,VAE,128,2,
375,auditory,independent,auditory_pretrained_embeddings,VAE,128,3,2770.0319720755183
376,auditory,taskconditioned,ast_embeds,VAE,128,0,2320.043707973788
377,auditory,taskconditioned,ast_embeds,VAE,128,1,2389.740705561357
378,auditory,taskconditioned,ast_embeds,VAE,128,2,2345.617508716822
379,auditory,taskconditioned,ast_embeds,VAE,128,3,2378.2651211986995
380,auditory,taskconditioned,ast_embeds,VAE,128,0,2054.488294773469
381,auditory,taskconditioned,ast_embeds,VAE,128,1,2351.6073341822
382,auditory,taskconditioned,ast_embeds,VAE,128,2,2037.6977094098138
383,auditory,taskconditioned,ast_embeds,VAE,128,3,2184.374331554274
384,auditory,taskconditioned,ast_embeds,contrastive,128,0,2838.6647707373286
385,auditory,taskconditioned,ast_embeds,contrastive,128,1,2642.8472496878812
386,auditory,taskconditioned,ast_embeds,contrastive,128,2,2757.7784651152865
387,auditory,taskconditioned,ast_embeds,contrastive,128,3,2714.441531478963
388,auditory,taskconditioned,ast_embeds,contrastive,128,0,2759.172124121594
389,auditory,taskconditioned,ast_embeds,contrastive,128,1,2785.861944105552
390,auditory,taskconditioned,ast_embeds,contrastive,128,2,2733.671832264437
391,auditory,taskconditioned,ast_embeds,contrastive,128,3,2618.669416922941
392,auditory,independent,ast_embeds,contrastive,128,0,2549.1664652549466
393,auditory,independent,ast_embeds,contrastive,128,1,2868.2544043528046
394,auditory,independent,ast_embeds,contrastive,128,2,2656.1580636196577
395,auditory,independent,ast_embeds,contrastive,128,3,2811.1160299980725
396,auditory,independent,ast_embeds,contrastive,128,0,2485.188226398789
397,auditory,independent,ast_embeds,contrastive,128,1,3002.637389512065
398,auditory,independent,ast_embeds,contrastive,128,2,3120.2244028719906
399,auditory,independent,ast_embeds,contrastive,128,3,2566.914263258008
400,visual,taskconditioned,clip_embeds,contrastive+autoencoder,128,0,560.7473634585792
401,visual,taskconditioned,clip_embeds,contrastive+autoencoder,128,1,527.7556476536625
402,visual,taskconditioned,clip_embeds,contrastive+autoencoder,128,2,681.3423694015506
403,visual,taskconditioned,clip_embeds,contrastive+autoencoder,128,3,501.31458459135735
404,visual,taskconditioned,clip_embeds,contrastive+autoencoder,128,0,600.3133567675486
405,visual,taskconditioned,clip_embeds,contrastive+autoencoder,128,1,672.8624490996258
406,visual,taskconditioned,clip_embeds,contrastive+autoencoder,128,2,498.43624095586455
407,visual,taskconditioned,clip_embeds,contrastive+autoencoder,128,3,597.8352196197982
408,kinesthetic,taskconditioned,AE_embeds,contrastive+autoencoder,128,0,739.1819700074728
409,kinesthetic,taskconditioned,AE_embeds,contrastive+autoencoder,128,1,692.4280150891462
410,kinesthetic,taskconditioned,AE_embeds,contrastive+autoencoder,128,2,682.3975398872425
411,kinesthetic,taskconditioned,AE_embeds,contrastive+autoencoder,128,3,722.4346701231624
412,kinesthetic,taskconditioned,AE_embeds,contrastive+autoencoder,128,0,768.7373281296138
413,kinesthetic,taskconditioned,AE_embeds,contrastive+autoencoder,128,1,754.0840525696995
414,kinesthetic,taskconditioned,AE_embeds,contrastive+autoencoder,128,2,735.8024701192247
415,kinesthetic,taskconditioned,AE_embeds,contrastive+autoencoder,128,3,726.0292338902361
416,visual,independent,clip_embeds,VAE,128,0,677.7695270402456
417,visual,independent,clip_embeds,VAE,128,1,597.6944403987846
418,visual,independent,clip_embeds,VAE,128,2,503.44923426447764
419,visual,independent,clip_embeds,VAE,128,3,599.0579228799069
420,visual,independent,clip_embeds,VAE,128,0,542.5478011689924
421,visual,independent,clip_embeds,VAE,128,1,611.657976389455
422,visual,independent,clip_embeds,VAE,128,2,538.1070153319702
423,visual,independent,clip_embeds,VAE,128,3,484.35212060795726
424,visual,taskconditioned,raw,random,128,0,628.7520492597957
425,visual,taskconditioned,raw,random,128,1,522.9114991467249
426,visual,taskconditioned,raw,random,128,2,647.506124363474
427,visual,taskconditioned,raw,random,128,3,551.2080030760069
428,visual,taskconditioned,raw,random,128,0,518.1826178081868
429,visual,taskconditioned,raw,random,128,1,558.3741094709665
430,visual,taskconditioned,raw,random,128,2,697.527752522738
431,visual,taskconditioned,raw,random,128,3,664.7061598582859
432,kinesthetic,taskconditioned,AE_embeds,contrastive,128,0,949.6777743729847
433,kinesthetic,taskconditioned,AE_embeds,contrastive,128,1,1015.8191170575126
434,kinesthetic,taskconditioned,AE_embeds,contrastive,128,2,987.4576328764914
435,kinesthetic,taskconditioned,AE_embeds,contrastive,128,3,1036.714174782229
436,kinesthetic,taskconditioned,AE_embeds,contrastive,128,0,1009.8130623536193
437,kinesthetic,taskconditioned,AE_embeds,contrastive,128,1,1000.5806883437916
438,kinesthetic,taskconditioned,AE_embeds,contrastive,128,2,995.5063545374669
439,kinesthetic,taskconditioned,AE_embeds,contrastive,128,3,987.2550428173017
440,visual,independent,xclip_embeds,contrastive,128,0,577.6501088428622
441,visual,independent,xclip_embeds,contrastive,128,1,529.6179220045424
442,visual,independent,xclip_embeds,contrastive,128,2,452.94101571430747
443,visual,independent,xclip_embeds,contrastive,128,3,468.14875373277704
444,visual,independent,xclip_embeds,contrastive,128,0,527.0393196757421
445,visual,independent,xclip_embeds,contrastive,128,1,620.1363629946693
446,visual,independent,xclip_embeds,contrastive,128,2,712.5996714123224
